external_gene_name,logfc,padj
MT-TF,-2.6,0.02128
MT-RNR1,-6.1,0.8388
MT-TV,-8.6,0.2514
MT-RNR2,-0.9,0.2938
MT-TL1,1.1,0.5821
MT-ND1,-0.7,0.2251
MT-TI,-5.8,0.6922
MT-TQ,6.6,0.5357
MT-TM,8.9,0.4885
MT-ND2,0.6,0.0042
MT-TW,3.1,0.568
MT-TA,1.6,0.5061
MT-TN,-5.1,0.7239
MT-TC,-4.8,0.044
MT-TY,-1.1,0.3369
MT-CO1,5.2,0.2431
MT-TS1,-8.1,0.1101
MT-TD,-5.1,0.9835
MT-CO2,1.9,0.7
MT-TK,4.9,0.9398
MT-ATP8,4.9,0.7655
MT-ATP6,-8.5,0.1769
MT-CO3,3.6,0.2575
MT-TG,-6.6,0.6213
MT-ND3,-0.1,0.013
MT-TR,-9.1,0.2387
MT-ND4L,8.5,0.4763
MT-ND4,9.1,0.6774
MT-TH,6.2,0.5839
MT-TS2,-3.1,0.2724
MT-TL2,8.3,0.3195
MT-ND5,-4.5,0.5901
MT-ND6,-4.7,0.5301
MT-TE,-6.7,0.8752
MT-CYB,-4,0.6308
MT-TT,-0.7,0.3999
MT-TP,0.5,0.5096
PFN1P9,7.3,0.5114
NOTCH2P1,-3.3,0.3108
ADAM30,9.5,0.2795
NOTCH2,-6.8,0.5567
AC245008.1,6.8,0.093
RNU6-465P,5,0.5751
SEC22B,-9,0.6074
AC244669.2,-3.9,0.5499
7SK,9.6,0.3145
AC244669.1,4.3,0.8195
U1,1.9,0.6276
NBPF8,0.4,0.9755
PFN1P2,-2.8,0.698
AC241952.1,-3.8,0.2785
U2,-4.8,0.6532
7SK,2.2,0.9243
NOTCH2NLR,-2.6,0.6148
NBPF26,-1.4,0.6774
AC253572.1,2.5,0.3814
RNVU1-19,0.3,0.286
PPIAL4A,-1.5,0.3263
AC241377.3,-0.8,0.1947
LINC00623,1.5,0.6897
RNVU1-4,-7,0.0244
AC241377.4,-4.7,0.1295
AC241377.2,-2.3,0.9889
U1,1.2,0.0917
AC241377.1,-5.3,0.5531
FCGR1B,9.1,0.8856
AC244453.3,0.3,0.6188
AC244453.2,4.8,0.9524
H2BP1,8.7,0.315
AC244453.1,-1.5,0.1794
H3P4,-0.5,0.958
RPL22P6,2.1,0.1604
FAM72B,-5.6,0.7218
SRGAP2C,-9.8,0.1221
AC243994.1,2.5,0.4291
SRGAP2-AS1,9.8,0.3772
LINC02798,-0.3,0.3629
AL592494.1,4.8,0.5955
MTIF2P1,6.5,0.8008
AL592494.2,9,0.4902
EMBP1,3.4,0.8949
LINC01691,-4.1,0.6977
AC242852.1,0.1,0.5687
AC242852.2,8.5,0.5446
AC239859.5,8.2,0.6724
RNA5SP533,4,0.4859
AC239859.3,9.4,0.172
AC239859.4,0.4,0.187
NKAIN1P1,-2,0.9839
AC239859.2,5.9,0.9472
